"Name","Agent","Stopped","State","Notes","User","Tags","Created","Runtime","Sweep","base_features","batch_size","conv_activation","data_dir","dense_activation","dropout","early_terminate.min_iter","early_terminate.type","filter_size","img_size","in_channels","include_batchnorm","input_size","lr","max_epochs","method","metric.goal","metric.name","num_classes","num_dense","num_layers","num_workers","padding","parameters.base_featuress","parameters.batch_sizes","parameters.conv_activations","parameters.data_dir","parameters.dense_activations","parameters.dropouts","parameters.filter_sizes","parameters.img_size","parameters.in_channels","parameters.include_batchnorms","parameters.input_size","parameters.lr.distribution","parameters.lr.max","parameters.lr.min","parameters.max_epochs","parameters.num_classes","parameters.num_denses","parameters.num_layers","parameters.num_workers","parameters.padding","parameters.pooling_k","parameters.strategys","parameters.stride","parameters.use_augmentations","pooling_k","program","strategy","stride","use_augmentation","epoch","train_accuracy","train_f1_class_cardboard","train_f1_class_glass","train_f1_class_metal","train_f1_class_paper","train_f1_class_plastic","train_f1_class_trash","train_loss_epoch","train_loss_step","train_precision_class_cardboard","train_precision_class_glass","train_precision_class_metal","train_precision_class_paper","train_precision_class_plastic","train_precision_class_trash","train_recall_class_cardboard","train_recall_class_glass","train_recall_class_metal","train_recall_class_paper","train_recall_class_plastic","train_recall_class_trash","trainer/global_step","val_accuracy","val_f1_class_cardboard","val_f1_class_glass","val_f1_class_metal","val_f1_class_paper","val_f1_class_plastic","val_f1_class_trash","val_loss","val_precision_class_cardboard","val_precision_class_glass","val_precision_class_metal","val_precision_class_paper","val_precision_class_plastic","val_precision_class_trash","val_recall_class_cardboard","val_recall_class_glass","val_recall_class_metal","val_recall_class_paper","val_recall_class_plastic","val_recall_class_trash"
"ruby-sweep-60","","true","finished","-","","","2025-12-13T13:10:10.000Z","57","xhtpjq4s","64","64","mish","data","silu","0.2","","","3","128","3","false","128","0.00029760535309819103","20","","","","6","64","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","halving","1","true","11","0.38657882809638977","0.6319612860679626","0.15950919687747955","0.14007781445980072","0.403329074382782","0.4704875946044922","0","1.4922810792922974","1.4938684701919556","0.5891647934913635","0.30588236451148987","0.2926829159259796","0.3185035288333893","0.390625","0","0.6814621686935425","0.10788381844758987","0.09207160770893096","0.5497382283210754","0.5913978219032288","0","419","0.4030500948429108","0.6213017702102661","0.010526316240429878","0.01342281885445118","0.4791929423809051","0.4679487049579621","0","1.4913280010223389","0.5357142686843872","0.1428571492433548","0.25","0.3298611044883728","0.5407407283782959","0","0.7394366264343262","0.005464480724185705","0.006896551698446274","0.8755760192871094","0.4124293923377991","0"
"rosy-sweep-59","","false","finished","-","","","2025-12-13T13:08:09.000Z","118","xhtpjq4s","32","64","mish","data","gelu","0.2","","","5","128","3","true","128","0.00038483125192086126","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","doubling","1","false","19","0.9806504845619202","0.9791122674942015","0.9681397676467896","0.9744245409965516","0.9956178665161132","0.9859762787818908","0.9665427803993224","0.06410487741231918","0.0655333399772644","0.9791122674942015","0.9592667818069458","0.9744245409965516","1","0.9891774654388428","0.9701492786407472","0.9791122674942015","0.977178394794464","0.9744245409965516","0.9912739992141724","0.9827957153320312","0.9629629850387572","759","0.85838782787323","0.8668941855430603","0.8141592741012573","0.8399999737739563","0.892241358757019","0.8716577291488647","0.8275862336158752","0.46723440289497375","0.8410596251487732","0.8846153616905212","1","0.8380566835403442","0.8274111747741699","0.774193525314331","0.8943662047386169","0.7540983557701111","0.7241379022598267","0.9539170265197754","0.920903980731964","0.8888888955116272"
"rare-sweep-58","","true","crashed","-","","","2025-12-13T13:06:40.000Z","69","xhtpjq4s","32","32","silu","data","silu","0.2","","","5","128","3","false","128","0.0008631274096401302","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","same","1","true","14","0.6850555539131165","0.8069705367088318","0.6230847835540771","0.6509804129600525","0.7663551568984985","0.6310043931007385","0.5018181800842285","0.8327821493148804","0.6281809210777283","0.8292011022567749","0.6136820912361145","0.6657754182815552","0.746688723564148","0.6407982110977173","0.4928571283817291","0.7859007716178894","0.6327800750732422","0.6368286609649658","0.7870855331420898","0.6215053796768188","0.5111111402511597","1139","0.7047930359840393","0.7984496355056763","0.6498599648475647","0.6597937941551208","0.7567567825317383","0.6819338202476501","0.6451612710952759","0.8042129278182983","0.8879310488700867","0.6666666865348816","0.6575342416763306","0.7400881052017212","0.6203703880310059","0.7692307829856873","0.7253521084785461","0.6338797807693481","0.6620689630508423","0.774193525314331","0.7570621371269226","0.5555555820465088"
"cerulean-sweep-57","","false","finished","-","","","2025-12-13T13:04:09.000Z","142","xhtpjq4s","64","64","mish","data","silu","0.2","","","3","128","3","false","128","0.0007519727209825607","20","","","","6","64","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","doubling","1","false","19","0.9197200536727904","0.926701545715332","0.9143446683883668","0.9260700345039368","0.9458987712860109","0.8950749635696411","0.8759124279022217","0.22152213752269745","0.29364877939224243","0.9291338324546814","0.9096509218215942","0.9394736886024476","0.9458987712860109","0.8912580013275146","0.8633093237876892","0.9242819547653198","0.9190871119499208","0.91304349899292","0.9458987712860109","0.898924708366394","0.8888888955116272","759","0.9226579666137696","0.9078498482704164","0.9075630307197572","0.8921933174133301","0.9792147874832152","0.9090909361839294","0.9090909361839294","0.26852113008499146","0.8807947039604187","0.931034505367279","0.9677419066429138","0.9814814925193788","0.8629441857337952","0.8928571343421936","0.9366196990013124","0.8852459192276001","0.8275862336158752","0.9769585132598876","0.9604519605636596","0.92592591047287"
"solar-sweep-56","","false","finished","-","","","2025-12-13T12:59:56.000Z","249","xhtpjq4s","64","32","mish","data","mish","0.3","","","5","128","3","false","128","0.0001586246052007916","20","","","","6","512","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","doubling","1","false","19","0.9921778440475464","0.9921671152114868","0.992746114730835","0.9923273921012878","0.9973798990249634","0.9849137663841248","0.9926470518112184","0.03911120444536209","0.03521018102765083","0.9921671152114868","0.9917184114456176","0.9923273921012878","0.998251736164093","0.9870410561561584","0.985401451587677","0.9921671152114868","0.9937759041786194","0.9923273921012878","0.996509611606598","0.9827957153320312","1","1519","0.9684095978736876","0.9642857313156128","0.9487870335578918","0.9722222089767456","0.9861111044883728","0.9606741666793824","0.9908257126808168","0.1258735954761505","0.97826087474823","0.936170220375061","0.9790209531784058","0.9906976819038392","0.9553072452545166","0.9818181991577148","0.9507042169570924","0.9617486596107484","0.9655172228813172","0.981566846370697","0.9661017060279846","1"
"dazzling-sweep-55","","false","finished","-","","","2025-12-13T12:57:09.000Z","162","xhtpjq4s","64","64","silu","data","silu","0.3","","","3","128","3","true","128","0.0005783629971922329","20","","","","6","128","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","doubling","1","true","19","0.9230135679244996","0.9484808444976808","0.9070248007774352","0.9176172614097596","0.9497400522232056","0.897826075553894","0.8962963223457336","0.21663080155849457","0.2523607313632965","0.9598930478096008","0.903292179107666","0.909547746181488","0.9432013630867004","0.9076923131942748","0.8962963223457336","0.937336802482605","0.910788357257843","0.9258311986923218","0.9563699960708618","0.8881720304489136","0.8962963223457336","759","0.8246187567710876","0.9246575236320496","0.7368420958518982","0.692307710647583","0.8865096569061279","0.8484848737716675","0.8064516186714172","0.5874369144439697","0.8999999761581421","0.9256198406219482","0.7021276354789734","0.828000009059906","0.8279569745063782","0.7142857313156128","0.9507042169570924","0.6120218634605408","0.682758629322052","0.9539170265197754","0.8700565099716187","0.92592591047287"
"peach-sweep-54","","true","crashed","-","","","2025-12-13T12:56:11.000Z","53","xhtpjq4s","32","64","silu","data","silu","0.2","","","3","128","3","true","128","0.0002660621248015201","20","","","","6","128","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","halving","1","false","12","0.4919719994068146","0.6822659969329834","0.3629032373428345","0.4507389068603515","0.495219886302948","0.5090054869651794","0.19161677360534668","1.2613449096679688","1.191819190979004","0.6456876397132874","0.5152671933174133","0.4346793293952942","0.5475687384605408","0.4002462923526764","0.5","0.7232375741004944","0.2800830006599426","0.4680306911468506","0.452006995677948","0.698924720287323","0.11851851642131804","479","0.38235294818878174","0.7389830350875854","0","0.06493506580591202","0.3826714754104614","0.4080664217472077","0.29629629850387573","1.4581687450408936","0.7124183177947998","0","0.5555555820465088","0.8833333253860474","0.25825825333595276","0.4444444477558136","0.7676056623458862","0","0.03448275849223137","0.24423962831497192","0.9717513918876648","0.2222222238779068"
"dazzling-sweep-53","","true","finished","-","","","2025-12-13T12:54:48.000Z","79","xhtpjq4s","32","32","mish","data","silu","0.3","","","5","128","3","true","128","0.0004248700723164929","20","","","","6","128","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","same","1","false","16","0.8657884001731873","0.9100391268730164","0.8471794724464417","0.833548367023468","0.9286328554153442","0.8242949843406677","0.765625","0.380887895822525","0.25346988439559937","0.9088541865348816","0.8377282023429871","0.8411458134651184","0.9152542352676392","0.8315098285675049","0.8099173307418823","0.9112271666526794","0.8568464517593384","0.8260869383811951","0.9424083828926086","0.8172042965888977","0.7259259223937988","1239","0.7973856329917908","0.8615384697914124","0.7016574740409851","0.7829181551933289","0.9036697149276732","0.7430025339126587","0.7692307829856873","0.5507106184959412","0.9491525292396544","0.7094972133636475","0.8088235259056091","0.8995434045791626","0.6759259104728699","0.800000011920929","0.7887324094772339","0.693989098072052","0.7586206793785095","0.9078341126441956","0.8248587846755981","0.7407407164573669"
"dandy-sweep-52","","false","finished","-","","","2025-12-13T12:53:10.000Z","94","xhtpjq4s","32","64","silu","data","silu","0.2","","","3","128","3","true","128","0.0003406453524332351","20","","","","6","128","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","doubling","1","false","19","0.9971181750297546","0.9986928105354308","0.9937759041786194","0.9987228512763976","1","0.9935483932495116","1","0.019466307014226913","0.01162418257445097","1","0.9937759041786194","0.997448980808258","1","0.9935483932495116","1","0.997389018535614","0.9937759041786194","1","1","0.9935483932495116","1","759","0.9531590342521667","0.9377289414405824","0.9558011293411256","0.936170220375061","0.9839816689491272","0.9482288956642152","0.921739101409912","0.15876664221286774","0.9770992398262024","0.9664804339408876","0.9635036587715148","0.9772727489471436","0.9157894849777222","0.868852436542511","0.9014084339141846","0.9453551769256592","0.9103448390960692","0.990783393383026","0.98305082321167","0.9814814925193788"
"smart-sweep-51","","true","crashed","-","","","2025-12-13T12:51:42.000Z","78","xhtpjq4s","64","64","mish","data","gelu","0.3","","","5","128","3","false","128","0.0005251506737251291","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","same","1","true","14","0.7422807812690735","0.8304405808448792","0.7164179086685181","0.7159841656684875","0.8235294222831726","0.6547486186027527","0.5954198241233826","0.7118706703186035","0.6754458546638489","0.8497267961502075","0.6883364915847778","0.7404371500015259","0.794165313243866","0.6813953518867493","0.6141732335090637","0.8120104670524597","0.7468879818916321","0.6930946111679077","0.8551483154296875","0.6301075220108032","0.5777778029441833","569","0.7592592835426331","0.8669201731681824","0.7184986472129822","0.7126436829566956","0.8312958478927612","0.6904761791229248","0.7289719581604004","0.6452904939651489","0.942148745059967","0.7052631378173828","0.610837459564209","0.8854166865348816","0.7295597195625305","0.7358490824699402","0.8028169274330139","0.7322404384613037","0.8551723957061768","0.7834101319313049","0.6553672552108765","0.7222222089767456"
"rare-sweep-50","","false","finished","-","","","2025-12-13T12:50:06.000Z","90","xhtpjq4s","32","64","mish","data","gelu","0","","","3","128","3","false","128","0.0007694145980926786","20","","","","6","64","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","doubling","1","true","19","0.8163853287696838","0.8715232014656067","0.7746624946594238","0.809583842754364","0.8919382691383362","0.7529923915863037","0.7175572514533997","0.5084050893783569","0.6319202780723572","0.8844085931777954","0.7754677534103394","0.7985074520111084","0.8768971562385559","0.7621145248413086","0.7401574850082397","0.8590078353881836","0.773858904838562","0.8209718465805054","0.907504379749298","0.7440860271453857","0.6962962746620178","759","0.8627451062202454","0.9142857193946838","0.8044077157974243","0.8771929740905762","0.9317647218704224","0.8128342032432556","0.78899085521698","0.41873592138290405","0.9275362491607666","0.8111110925674438","0.8928571343421936","0.9519230723381042","0.7715736031532288","0.7818182110786438","0.9014084339141846","0.7978141903877258","0.8620689511299133","0.91244238615036","0.8587570786476135","0.7962962985038757"
"confused-sweep-49","","true","finished","-","","","2025-12-13T12:49:10.000Z","54","xhtpjq4s","64","64","mish","data","silu","0.2","","","3","128","3","true","128","0.00023942171492911832","20","","","","6","64","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","halving","1","true","9","0.568546712398529","0.7830687761306763","0.3785046637058258","0.5073529481887817","0.6605644822120667","0.5681818127632141","0.10596026480197906","1.121187448501587","1.1611742973327637","0.7935656905174255","0.4331550896167755","0.4870588183403015","0.586720883846283","0.5467196702957153","0.5","0.7728459239006042","0.3360995948314667","0.529411792755127","0.7556719183921814","0.5913978219032288","0.05925925821065903","379","0.4673202633857727","0.7718120813369751","0.4091857969760895","0.35211268067359924","0.2823529541492462","0.53125","0.3055555522441864","1.352102279663086","0.7371794581413269","0.3310810923576355","0.35971224308013916","0.9473684430122375","0.43911439180374146","0.6111111044883728","0.8098591566085815","0.5355191230773926","0.3448275923728943","0.1658986210823059","0.6723163723945618","0.20370370149612427"
"bumbling-sweep-48","","true","finished","-","","","2025-12-13T12:48:04.000Z","64","xhtpjq4s","32","64","silu","data","gelu","0.3","","","3","128","3","true","128","0.00013166705737809948","20","","","","6","256","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","doubling","1","false","12","0.930012345314026","0.9549071788787842","0.9186405539512634","0.9128205180168152","0.9696969985961914","0.9065520763397216","0.8614231944084167","0.234467014670372","0.17134518921375275","0.9703503847122192","0.9120654463768004","0.9151670932769777","0.962199330329895","0.905579388141632","0.8712121248245239","0.939947783946991","0.9253112077713012","0.9104859232902528","0.9773123860359192","0.9075269103050232","0.8518518805503845","479","0.6241829991340637","0.5104166865348816","0.52008455991745","0.6285714507102966","0.7860962748527527","0.7093595862388611","0.28947368264198303","1.185843825340271","0.9800000190734864","0.4241379201412201","0.5823529362678528","0.9363057613372804","0.6288209557533264","0.5","0.34507042169570923","0.6721311211585999","0.682758629322052","0.6774193644523621","0.8135592937469482","0.20370370149612427"
"playful-sweep-47","","true","finished","-","","","2025-12-13T12:46:42.000Z","79","xhtpjq4s","32","64","mish","data","silu","0.3","","","3","128","3","true","128","0.0002456097925900961","20","","","","6","128","5","4","same","","","","","","","","","","","","","","","","","","","","","","","","","2","","same","1","false","19","0.7826265692710876","0.8541114330291748","0.7439516186714172","0.7213541865348816","0.8772227168083191","0.7358078360557556","0.6315789222717285","0.5940043926239014","0.588324248790741","0.8679245114326477","0.7235293984413147","0.7347480058670044","0.8519737124443054","0.7472283840179443","0.6964285969734192","0.8407310843467712","0.7655601501464844","0.7084398865699768","0.904013991355896","0.7247312068939209","0.5777778029441833","759","0.6840958595275879","0.7583333253860474","0.6346666812896729","0.5112107396125793","0.8758465051651001","0.6442307829856873","0.4748201370239258","0.8661049008369446","0.9285714030265808","0.6197916865348816","0.7307692170143127","0.8584070801734924","0.560669481754303","0.38823530077934265","0.6408450603485107","0.6502732038497925","0.3931034505367279","0.8940092325210571","0.7570621371269226","0.6111111044883728"
